2025-08-19 11:28:10.087 UTC [19736] LOG:  starting PostgreSQL 17.4 on x86_64-pc-linux-gnu, compiled by gcc (GCC) 15.1.1 20250425, 64-bit
2025-08-19 11:28:10.089 UTC [19736] LOG:  listening on IPv6 address "::1", port 5432
2025-08-19 11:28:10.089 UTC [19736] LOG:  listening on IPv4 address "127.0.0.1", port 5432
2025-08-19 11:28:10.091 UTC [19736] LOG:  listening on Unix socket "/tmp/.s.PGSQL.5432"
2025-08-19 11:28:10.099 UTC [19739] LOG:  database system was shut down at 2025-08-19 11:13:02 UTC
2025-08-19 11:28:10.108 UTC [19736] LOG:  database system is ready to accept connections
2025-08-19 11:33:10.199 UTC [19737] LOG:  checkpoint starting: time
2025-08-19 11:33:10.231 UTC [19737] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.014 s, sync=0.002 s, total=0.033 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/1B670FD0, redo lsn=0/1B670F78
2025-08-19 13:08:12.133 UTC [19737] LOG:  checkpoint starting: time
2025-08-19 13:08:12.554 UTC [19737] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.405 s, sync=0.005 s, total=0.423 s; sync files=5, longest=0.003 s, average=0.001 s; distance=1 kB, estimate=1 kB; lsn=0/1B671548, redo lsn=0/1B6714F0
2025-08-19 15:34:05.633 UTC [19736] LOG:  received fast shutdown request
2025-08-19 15:34:05.638 UTC [19736] LOG:  aborting any active transactions
2025-08-19 15:34:05.642 UTC [19736] LOG:  background worker "logical replication launcher" (PID 19742) exited with exit code 1
2025-08-19 15:34:05.642 UTC [19737] LOG:  shutting down
2025-08-19 15:34:05.650 UTC [19737] LOG:  checkpoint starting: shutdown immediate
2025-08-19 15:34:05.680 UTC [19737] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.014 s, sync=0.001 s, total=0.038 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB; lsn=0/1B6715F8, redo lsn=0/1B6715F8
2025-08-19 15:34:05.691 UTC [19736] LOG:  database system is shut down
2025-08-19 15:36:22.149 UTC [105134] LOG:  starting PostgreSQL 17.4 on x86_64-pc-linux-gnu, compiled by gcc (GCC) 15.1.1 20250425, 64-bit
2025-08-19 15:36:22.150 UTC [105134] LOG:  listening on IPv6 address "::1", port 5432
2025-08-19 15:36:22.150 UTC [105134] LOG:  listening on IPv4 address "127.0.0.1", port 5432
2025-08-19 15:36:22.152 UTC [105134] LOG:  listening on Unix socket "/tmp/.s.PGSQL.5432"
2025-08-19 15:36:22.162 UTC [105137] LOG:  database system was shut down at 2025-08-19 15:34:05 UTC
2025-08-19 15:36:22.169 UTC [105134] LOG:  database system is ready to accept connections
2025-08-19 15:41:22.270 UTC [105135] LOG:  checkpoint starting: time
2025-08-19 15:41:22.301 UTC [105135] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.002 s, total=0.041 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/1B671700, redo lsn=0/1B6716A8
2025-08-19 15:52:36.391 UTC [105134] LOG:  received fast shutdown request
2025-08-19 15:52:36.393 UTC [105134] LOG:  aborting any active transactions
2025-08-19 15:52:36.395 UTC [105134] LOG:  background worker "logical replication launcher" (PID 105140) exited with exit code 1
2025-08-19 15:52:36.395 UTC [105135] LOG:  shutting down
2025-08-19 15:52:36.397 UTC [105135] LOG:  checkpoint starting: shutdown immediate
2025-08-19 15:52:36.411 UTC [105135] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.017 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/1B6717B0, redo lsn=0/1B6717B0
2025-08-19 15:52:36.415 UTC [105134] LOG:  database system is shut down
2025-08-20 00:04:25.059 UTC [111601] LOG:  starting PostgreSQL 17.4 on x86_64-pc-linux-gnu, compiled by gcc (GCC) 15.1.1 20250425, 64-bit
2025-08-20 00:04:25.061 UTC [111601] LOG:  listening on IPv6 address "::1", port 5432
2025-08-20 00:04:25.061 UTC [111601] LOG:  listening on IPv4 address "127.0.0.1", port 5432
2025-08-20 00:04:25.063 UTC [111601] LOG:  listening on Unix socket "/tmp/.s.PGSQL.5432"
2025-08-20 00:04:25.074 UTC [111604] LOG:  database system was shut down at 2025-08-19 15:52:36 UTC
2025-08-20 00:04:25.084 UTC [111601] LOG:  database system is ready to accept connections
2025-08-20 00:09:25.172 UTC [111602] LOG:  checkpoint starting: time
2025-08-20 00:09:25.192 UTC [111602] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.007 s, sync=0.002 s, total=0.020 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/1B6718B8, redo lsn=0/1B671860
2025-08-20 03:41:04.959 UTC [111601] LOG:  received fast shutdown request
2025-08-20 03:41:04.971 UTC [111601] LOG:  aborting any active transactions
2025-08-20 03:41:04.994 UTC [111601] LOG:  background worker "logical replication launcher" (PID 111607) exited with exit code 1
2025-08-20 03:41:04.998 UTC [111602] LOG:  shutting down
2025-08-20 03:41:05.021 UTC [111602] LOG:  checkpoint starting: shutdown immediate
2025-08-20 03:41:05.070 UTC [111602] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.019 s, sync=0.001 s, total=0.073 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/1B671968, redo lsn=0/1B671968
2025-08-20 03:41:05.093 UTC [111601] LOG:  database system is shut down
2025-08-20 10:54:41.145 UTC [7751] LOG:  starting PostgreSQL 17.4 on x86_64-pc-linux-gnu, compiled by gcc (GCC) 15.1.1 20250425, 64-bit
2025-08-20 10:54:41.146 UTC [7751] LOG:  listening on IPv6 address "::1", port 5432
2025-08-20 10:54:41.147 UTC [7751] LOG:  listening on IPv4 address "127.0.0.1", port 5432
2025-08-20 10:54:41.149 UTC [7751] LOG:  listening on Unix socket "/tmp/.s.PGSQL.5432"
2025-08-20 10:54:41.158 UTC [7754] LOG:  database system was shut down at 2025-08-20 03:41:05 UTC
2025-08-20 10:54:41.166 UTC [7751] LOG:  database system is ready to accept connections
2025-08-20 10:59:41.255 UTC [7752] LOG:  checkpoint starting: time
2025-08-20 10:59:41.275 UTC [7752] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.002 s, total=0.021 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/1B671A70, redo lsn=0/1B671A18
