2025-06-23 14:26:32.856 UTC [42139] LOG:  received fast shutdown request
2025-06-23 14:26:32.858 UTC [42139] LOG:  aborting any active transactions
2025-06-23 14:26:32.861 UTC [42139] LOG:  background worker "logical replication launcher" (PID 42145) exited with exit code 1
2025-06-23 14:26:32.861 UTC [43135] FATAL:  terminating connection due to administrator command
2025-06-23 14:26:32.861 UTC [43126] FATAL:  terminating connection due to administrator command
2025-06-23 14:26:32.863 UTC [43132] FATAL:  terminating connection due to administrator command
2025-06-23 14:26:32.868 UTC [42140] LOG:  shutting down
2025-06-23 14:26:32.879 UTC [42140] LOG:  checkpoint starting: shutdown immediate
2025-06-23 14:26:32.899 UTC [42140] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.002 s, total=0.031 s; sync files=2, longest=0.002 s, average=0.001 s; distance=0 kB, estimate=1 kB; lsn=0/3BC7A80, redo lsn=0/3BC7A80
2025-06-23 14:26:32.905 UTC [42139] LOG:  database system is shut down
2025-06-24 12:36:48.384 UTC [69815] LOG:  starting PostgreSQL 17.4 on x86_64-pc-linux-gnu, compiled by gcc (GCC) 15.1.1 20250425, 64-bit
2025-06-24 12:36:48.386 UTC [69815] LOG:  listening on IPv6 address "::1", port 5432
2025-06-24 12:36:48.386 UTC [69815] LOG:  listening on IPv4 address "127.0.0.1", port 5432
2025-06-24 12:36:48.388 UTC [69815] LOG:  listening on Unix socket "/tmp/.s.PGSQL.5432"
2025-06-24 12:36:48.397 UTC [69818] LOG:  database system was shut down at 2025-06-23 14:26:32 UTC
2025-06-24 12:36:48.404 UTC [69815] LOG:  database system is ready to accept connections
2025-06-24 12:41:48.496 UTC [69816] LOG:  checkpoint starting: time
2025-06-24 12:41:48.624 UTC [69816] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.106 s, sync=0.010 s, total=0.128 s; sync files=3, longest=0.004 s, average=0.004 s; distance=0 kB, estimate=0 kB; lsn=0/3BC7B88, redo lsn=0/3BC7B30
2025-06-24 16:04:22.102 UTC [69815] LOG:  received fast shutdown request
2025-06-24 16:04:22.108 UTC [69815] LOG:  aborting any active transactions
2025-06-24 16:04:22.111 UTC [136423] FATAL:  terminating connection due to administrator command
2025-06-24 16:04:22.111 UTC [70103] FATAL:  terminating connection due to administrator command
2025-06-24 16:04:22.111 UTC [70098] FATAL:  terminating connection due to administrator command
